key	en	fr
landFeat6Desc	Goals, assists, ratings, clean sheets — every stat tracked. See where you rank against every player on the platform.	Buts, passes, notes, clean sheets — chaque stat est suivie. Vois où tu te situes face à tous les joueurs de la plateforme.
landStep1Title	Create Your Profile	Crée ton profil
landStep1Desc	Sign up, pick your position and platform, upload your photo, and build your player identity in minutes.	Inscris-toi, choisis ton poste et ta plateforme, importe ta photo et construis ton identité de joueur en quelques minutes.
landStep2Title	Join or Found a Club	Rejoins ou fonde un club
landStep2Desc	Browse existing clubs and request to join, or create your own — set the name, badge, region, and start recruiting.	Parcours les clubs existants et demande à les rejoindre, ou crée le tien — choisis le nom, le blason, la région et commence à recruter.
landStep3Title	Register & Compete	Inscris-toi & concours
landStep3Desc	Enter a regional league or competition, schedule your matches on Game Day, and chase the title every season.	Entre dans une ligue ou une compétition régionale, planifie tes matchs le Match Day et vise le titre chaque saison.
clubsCount	{count} clubs registered	{count} clubs inscrits
clubsSearchPlaceholder	Search clubs…	Rechercher des clubs…
clubsColLogo	Logo	Logo
cdChat	Chat	Chat
cdHistory	History	Historique
cdStadium	Stadium	Stade
cdFinance	Finance	Finances
cdShirts	Shirts	Maillots
cdClubOffice	Club Office	Bureau du club
cdClubNotFound	Club not found.	Club introuvable.
cdDeleteClub	Delete Club	Supprimer le club
cdDeleteConfirm	Are you sure you want to delete {name}? This cannot be undone.	Es-tu sûr de vouloir supprimer {name} ? Action irréversible.
cdDeleting	Deleting...	Suppression...
cdAdminTakeover	Admin Takeover	Contrôle admin
cdExit	Exit	Quitter
cdUnfollow	Unfollow	Ne plus suivre
cdFollow	Follow	Suivre
cdFollowersLower	followers	abonnés
cdTrialSent	Trial Request Sent	Demande d'essai envoyée
cdRequestTrial	Request Trial	Demander un essai
cdRequestTrialAt	Request Trial at {name}	Demander un essai à {name}
cdTrialIntro	Send a trial request to {name}. The club owner will receive your request in their inbox and can respond with a trial contract (5 games / 14 days).	Envoie une demande d'essai à {name}. Le propriétaire du club la recevra dans sa boîte de réception et pourra répondre par un contrat d'essai (5 matchs / 14 jours).
cdPlayerName	Player Name (GamerTag)	Nom du joueur (GamerTag)
cdSelectPosition	Select position	Choisir un poste
cdWhichConsole	Which Console	Quelle console
cdSelectConsole	Select console	Choisir une console
cdExperience	Experience	Expérience
cdExperiencePlaceholder	Share your level, past clubs, strengths, and availability...	Partage ton niveau, tes anciens clubs, tes points forts et tes disponibilités...
cdAdditionalMessage	Additional Message	Message additionnel
cdAdditionalPlaceholder	Optional custom note for this club...	Note personnalisée pour ce club (optionnel)...
cdShowRequestMessage	Show Request Message	Afficher le message de demande
cdRequestPreview	Request Preview	Aperçu de la demande
cdSending	Sending...	Envoi...
cdSendTrialRequest	Send Trial Request	Envoyer la demande d'essai
cdDraws	Draws	Nuls
cdWinRate	Win Rate	Taux de victoire
cdGoalsScored	Goals Scored	Buts marqués
cdGoalsConceded	Goals Conceded	Buts encaissés
cdPastMatches	Past Matches	Matchs passés
cdNoMatches	No matches recorded yet.	Aucun match enregistré.
cdClubChat	Club Chat	Chat du club
cdUnmute	Unmute chat notifications	Réactiver les notifications du chat
cdMute	Mute chat notifications	Couper les notifications du chat
cdNoMessages	No messages yet. Start the conversation.	Aucun message. Lance la conversation.
cdChatPlaceholder	Write a message to your club...	Écris un message à ton club...
cdSend	Send	Envoyer
cdNoPlayers	No players registered yet.	Aucun joueur inscrit.
cdLoadingHistory	Loading history…	Chargement de l'historique…
cdNoHistory	No season history yet.	Aucun historique de saison.
cdCompetition	Competition	Compétition
cdSeason	Season	Saison
cdPos	Pos	Pos
cdApprovalsNote	Approvals now go through contracts. Use Operations to offer a trial or full contract.	Les approbations passent désormais par les contrats. Utilise Operations pour proposer un essai ou un contrat complet.
cdOpenOperations	Open Operations	Ouvrir Operations
cdFollowers	Followers	Abonnés
cdNoFollowers	No followers yet.	Aucun abonné.
cdLogoTitle	{name} Logo	Logo de {name}
cdTagMax5	Tag (max 5)	Tag (max 5)
cdRankedMatch	Ranked Match	Match classé
cdTournament	Tournament	Tournoi
cdKnockout	Knockout	Élimination
cdGroupStage	Group Stage	Phase de groupes
cdSwiss	Swiss	Suisse
cdDoubleElim	Double Elim.	Double élim.
cdPresident	President	Président
cdCaptain	Captain	Capitaine
cdMember	Member	Membre
cdMakeCaptain	Make Captain	Nommer capitaine
cdViceCaptain	Vice-Captain	Vice-capitaine
cdMakeViceCaptain	Make Vice-Captain	Nommer vice-capitaine
cdSearchPlaceholder	Search...	Rechercher...
cdNoResults	No results found.	Aucun résultat.
ppNotFound	Player not found.	Joueur introuvable.
ppBackToSearch	Back to Search	Retour à la recherche
ppTransferFee	Transfer Fee	Indemnité de transfert
ppVerified	Verified	Vérifié
ppFollowingLower	following	abonnements
ppTab_posts	Posts	Posts
ppTab_stats	Stats	Stats
ppTab_career	Career	Carrière
ppTab_matches	Matches	Matchs
ppTab_trophies	Trophies	Trophées
ppTab_lifestyle	Lifestyle	Lifestyle
ppRecentForm	Recent Form (last {count})	Forme récente ({count} derniers)
ppPvpRecord	PvP Record	Bilan PvP
ppPvpHistory	PvP Match History	Historique des matchs PvP
ppRound	Round {round}	Journée {round}
ppFollowingTitle	Following	Abonnements
ppNotFollowing	Not following anyone yet.	Aucun abonnement pour le moment.
ppExternalStats	EA FC & Ultimate Team	EA FC & Ultimate Team
trnTournamentFor	Tournament For	Tournoi pour
trnClubsCompete	Clubs register & compete	Les clubs s'inscrivent et jouent
trnPlayersRegister	Individual players register	Les joueurs s'inscrivent individuellement
trnNamePlaceholder	Tournament name	Nom du tournoi
trnDescription	Description	Description
trnOptional	optional	optionnel
trnDescPlaceholder	What makes this special...	Ce qui rend ce tournoi spécial...
trnFormat	Format	Format
trnSwissUcl	Swiss UCL	Suisse UCL
trnMaxTeams	Max Teams	Équipes max
trnNTeams	{count} teams	{count} équipes
trnCrossPlatform	Cross-Platform	Cross-plateforme
trnStartDate	Start Date	Date de début
trnEntryFee	Entry Fee	Frais d'inscription
trnStcPerEntry	STC per entry	STC par inscription
trnStcEntry	STC / entry	STC / inscription
trnCreateCost	Create cost	Coût de création
trnEntryCost	Entry cost	Coût d'inscription
trnWinner	Winner 70%	Vainqueur 70 %
trnRunnerUp	Runner-up 20%	Finaliste 20 %
trnThirdPlace	Third place 10%	3e place 10 %
trnPrizePool	Prize pool	Cagnotte
trnCustomRules	Custom Rules	Règles personnalisées
trnRulesPlaceholder	Specific rules for this tournament...	Règles spécifiques à ce tournoi...
trnRulesAttached	✓ Rules file attached	✓ Fichier de règles joint
trnTrophy	Trophy	Trophée
trnTrophyHint	optional — awarded to winner	optionnel — décerné au vainqueur
trnBanner	Banner	Bannière
trnDoubleElimination	Double Elimination	Double élimination
tdGroupDraw	Group Draw	Tirage des groupes
tdGroupDrawDesc	Top teams advance into the knockout bracket.	Les meilleures équipes accèdent au tableau à élimination.
tdResolve	Resolve	Résoudre
tdDressingRoom	Dressing Room	Vestiaire
tdStream	Stream	Stream
tdNoTeams	No teams registered yet.	Aucune équipe inscrite.
tdNoDisputes	No disputed matches. All clear!	Aucun match contesté. Tout est bon !
tdSetFinalScore	Set Final Score	Définir le score final
tdAdminNotes	Admin Notes	Notes admin
tdAddStreamLink	Add Live Stream Link	Ajouter un lien de stream
tdStreamUrl	Stream URL	URL du stream
ldStatusAwaiting	Awaiting	En attente
ldStatusProposed	Proposed	Proposé
ldStatusCounter	Counter	Contre-prop.
ldStatusConfirmed	Confirmed	Confirmé
ldStatusExpired	Expired	Expiré
ldStatusReview	Review	À examiner
ldFixtures	Fixtures	Matchs
ldPlayed	Played	Joués
ldScheduled	Scheduled	Programmés
ldNotFound	League not found.	Ligue introuvable.
ldBackToCompetitions	Back to Competitions	Retour aux compétitions
ldLeagueLeader	League Leader	Leader de la ligue
ldNoLeader	No leader yet.	Pas encore de leader.
ldYourFixtures	Your Club Fixtures	Les matchs de ton club
ldSchemaNotPublished	Schema not published	Calendrier non publié
ldNoFixtures	No fixtures yet.	Aucun match pour le moment.
ldNoClubStats	No club stats yet.	Aucune stat de club.
ldNoPlayerStats	No player stats yet. Stats appear after Game Day results are submitted.	Aucune stat joueur. Les stats apparaissent après la soumission des résultats du Match Day.
ldNoStandings	No standings yet.	Aucun classement pour le moment.
ldZone	Zone	Zone
cpResult	Result	Résultat
cpNoFixtures	No fixtures generated yet	Aucun match généré pour l'instant
cpFinal	Final	Finale
cpNoQualification	No qualification entries yet	Aucune entrée de qualification
cpNotFound	Competition not found	Compétition introuvable
cpNotSeeded	This competition may not be seeded yet.	Cette compétition n'est peut-être pas encore initialisée.
cpNoSeason	No season started yet	Aucune saison commencée
lfSubtitle	Own, rent, and invest across luxury asset categories.	Possède, loue et investis dans des catégories d'actifs de luxe.
lfNoAssets	No assets in this category yet.	Aucun actif dans cette catégorie.
lfPrincipal	Principal	Capital
lfReturn	Return	Rendement
lfTotalPayout	Total payout	Gain total
lfMatures	Matures	Échéance
lfPaid	Paid	Payé
lfAcquired	Acquired	Acquis
lfUpkeep	Upkeep/wk	Entretien/sem.
obHowPlay	How do you play?	Comment joues-tu ?
obChooseRole	Choose your role — you can add the other later	Choisis ton rôle — tu pourras ajouter l'autre plus tard
obPlayerDesc	Create a player profile, join a club, sign contracts and compete in tournaments.	Crée un profil joueur, rejoins un club, signe des contrats et joue en tournoi.
obClubOwner	Club Owner	Propriétaire de club
obClubOwnerDesc	Found and manage your own club, sign players and enter tournaments.	Fonde et gère ton propre club, signe des joueurs et participe aux tournois.
obProfileReady	Player Profile Ready	Profil joueur prêt
obProfileReadyDesc	Your player profile already exists ({name}). Continue to identity verification.	Ton profil joueur existe déjà ({name}). Passe à la vérification d'identité.
obContinueVerification	Continue to Verification →	Passer à la vérification →
obStepChooseRole	Choose Role	Choisir un rôle
obStepPlayerProfile	Player Profile	Profil joueur
obStepVerifyIdentity	Verify Identity	Vérifier l'identité
obStepClubSetup	Club Setup	Configuration du club
obStepOf	Step {current} of {total} — {label}	Étape {current} sur {total} — {label}
obCreateProfile	Create Your Profile	Crée ton profil
obTellWorld	Tell the world about your player	Présente ton joueur au monde
obGamertag	Gamertag *	Gamertag *
obGamertagPlaceholder	Your in-game name	Ton pseudo en jeu
obMainPosition	Main Position *	Poste principal *
obSecondPosition	Second Position	Poste secondaire
obNone	None	Aucun
obCountry	Country *	Pays *
obSelectCountry	Select country	Sélectionne un pays
obSaving	Saving…	Enregistrement…
obContinueClub	Continue to Club Setup →	Passer au club →
obErrImage	Please choose an image file.	Choisis un fichier image.
obErrAvatarSize	Profile picture must be smaller than 10 MB.	La photo de profil doit faire moins de 10 Mo.
obErrUpload	Could not upload profile picture.	Impossible d'importer la photo de profil.
obErrSave	Could not save profile.	Impossible d'enregistrer le profil.
obCreateYourClub	Create Your Club	Crée ton club
obClubSetupTitle	Club Setup	Configuration du club
obNeedClubContinue	You need a club to continue as an owner	Tu as besoin d'un club pour continuer en tant que propriétaire
obCreateOrJoinLater	Create a club now or join one later	Crée un club maintenant ou rejoins-en un plus tard
obCreateClub	Create Club	Créer un club
obFoundClub	Found your club and start managing	Fonde ton club et commence à le gérer
obStartJourney	Start your journey now	Commence ton aventure maintenant
obSkip	Skip	Passer
obDoItLater	Do it later	Le faire plus tard
obBack	Back	Retour
obBuildEmpire	Build your football empire	Construis ton empire footballistique
obClubName	Club Name *	Nom du club *
obClubNamePlaceholder	e.g. FC Dynasty	ex. FC Dynasty
obTagMax5	Tag (max 5 chars) *	Tag (max 5 car.) *
obTagPlaceholder	e.g. DYN	ex. DYN
obPlatform	Platform	Plateforme
obRegion	Region	Région
obCreating	Creating…	Création…
obErrLogoSize	Club logo must be smaller than 10 MB.	Le logo du club doit faire moins de 10 Mo.
obErrLogoUpload	Could not upload club logo.	Impossible d'importer le logo du club.
obIdentityVerified	Identity Verified	Identité vérifiée
obClaimSubmitted	Claim Submitted	Demande envoyée
obIdentityLinked	Your STAGE profile is already linked to a verified player identity.	Ton profil STAGE est déjà lié à une identité joueur vérifiée.
obClaimPending	Your identity claim is now waiting for admin review in the admin panel.	Ta demande d'identité est en attente de validation admin.
obClaimIdentity	Claim Your Identity	Revendique ton identité
obClaimIdentityDesc	Link your player profile to your console, EA, or Discord identity for admin verification.	Lie ton profil joueur à ton identité console, EA ou Discord pour la vérification admin.
obPlatformHandle	Platform Handle *	Pseudo plateforme *
obPlatformHandlePlaceholder	PSN / Xbox / EA handle	Pseudo PSN / Xbox / EA
obEaId	EA ID	EA ID
obDiscord	Discord	Discord
obOptional	Optional	Optionnel
obNotes	Notes	Notes
obNotesPlaceholder	Anything admins should know?	Quelque chose à signaler aux admins ?
obProofLabel	Proof (screenshot or link)	Preuve (capture ou lien)
obProofPlaceholder	Paste a link, or drop / upload a screenshot	Colle un lien, ou dépose / importe une capture
obProofHint	Upload saves to Stage and stores the image URL on your claim for admins to review.	L'import enregistre sur Stage et stocke l'URL de l'image sur ta demande pour les admins.
obSubmitting	Submitting…	Envoi…
obSubmitClaim	Submit Claim	Envoyer la demande
obSkipForNow	Skip for now	Passer pour l'instant
obErrClaim	Could not submit identity claim.	Impossible d'envoyer la demande d'identité.
profBack	Back	Retour
cccGoBack	Go Back	Retour
cccAccessRestricted	Access Restricted	Accès restreint
cccPresidentOnly	Only the club president can create contracts.	Seul le président du club peut créer des contrats.
cccTitle	Create Contract	Créer un contrat
cccStep1	1. Select Player	1. Sélectionner un joueur
cccStep2	2. Choose Contract Type	2. Choisir le type de contrat
cccStep3	3. Financial Terms (STC)	3. Conditions financières (STC)
cccStep4	4. Performance Targets	4. Objectifs de performance
cccStep5	5. Review	5. Récapitulatif
cccStep6	6. Message (optional)	6. Message (optionnel)
cccSuggestedSalary	Suggested Salary Range	Fourchette de salaire suggérée
cccWeeklySalary	Weekly Salary	Salaire hebdomadaire
cccPaidMonthly	Paid monthly	Versé mensuellement
cccSigningBonus	Signing Bonus	Prime à la signature
cccPaidOnSigning	Paid on signing	Versée à la signature
cccCaptaincy	Captaincy	Capitanat
cccCaptainOffered	✓ Captain role offered	✓ Rôle de capitaine proposé
cccNoCaptaincy	No captaincy	Pas de capitanat
cccAddTarget	Add Target	Ajouter un objectif
cccNotePlaceholder	Add a message for the player...	Ajoute un message pour le joueur...
cccTargetMin	Minimum (≥)	Minimum (≥)
cccTargetExact	Exact (=)	Exact (=)
cccTargetRange	Range (between)	Plage (entre)
cccSendFailed	Failed to send contract: {error}	Échec de l'envoi du contrat : {error}
cccAlreadyHasContract	{name} already has a {type} contract ({status})	{name} a déjà un contrat {type} ({status})
cccStarted	Started: {date}	Début : {date}
cccOneActivePerType	Only one active contract per type group is allowed.	Un seul contrat actif est autorisé par groupe de type.
cccStillOfferPlayer	You can still offer a player contract (squad, star, etc.) alongside an ownership contract.	Tu peux toujours proposer un contrat joueur (effectif, star, etc.) en plus d'un contrat de propriété.
cccStillOfferOwnership	You can still offer an ownership contract alongside a player contract.	Tu peux toujours proposer un contrat de propriété en plus d'un contrat joueur.
cccExceedsWage	⛔ Exceeds Wage Budget	⛔ Dépassement du budget salarial
cccWageUsage	Wage Budget Usage: {pct}%	Utilisation du budget salarial : {pct} %
cccClubWageBudget	Club wage budget: {amount}M STC/wk	Budget salarial du club : {amount}M STC/sem.
cccReduceSalary	 — reduce the salary to proceed	 — réduis le salaire pour continuer
cccPerWeek	/ week	/ sem.
cccBasedOnValue	· based on {value} market value	· basé sur {value} de valeur marché
cccBasedOnOvr	· OVR {ovr}	· OVR {ovr}
cccMin	Min	Min
cccMax	Max	Max
cccValue	Value	Valeur
crAddClubs	Add Participants — Clubs	Ajouter des participants — Clubs
crSlotsFilled	{filled}/{max} slots filled	{filled}/{max} places prises
crSaveParticipants	Save Participants	Enregistrer les participants
crTournamentFull	🔒 Tournament is full ({max}/{max}). Remove a club to add another.	🔒 Le tournoi est complet ({max}/{max}). Retire un club pour en ajouter un autre.
crSearchPlaceholder	Search club or tag...	Rechercher un club ou un tag...
crRegistered	Registered	Inscrit
crAdd	Add	Ajouter
crLoadMore	Load More	Charger plus
crSaved	Participants saved!	Participants enregistrés !
prAddPlayers	Add Participants — Players	Ajouter des participants — Joueurs
prTournamentFull	🔒 Tournament is full ({max}/{max}). Remove a player to add another.	🔒 Le tournoi est complet ({max}/{max}). Retire un joueur pour en ajouter un autre.
prSearchPlaceholder	Search gamertag...	Rechercher un gamertag...
prPlayer	Player	Joueur
prRating	Rating	Note
prNoPlayers	No players found.	Aucun joueur trouvé.
eafcTitle	EA FC Club Lookup	Recherche club EA FC
eafcSubtitle	Search and explore real Pro Clubs data	Cherche et explore les vraies données Pro Clubs
eafcPlatformGen5	PS5 / Xbox Series X	PS5 / Xbox Series X
eafcPlatformGen4	PS4 / Xbox One	PS4 / Xbox One
eafcPlatformNx	Nintendo Switch	Nintendo Switch
eafcSearchPlaceholder	Search club name...	Rechercher un nom de club...
eafcNoClubs	No clubs found. Try a different name or platform.	Aucun club trouvé. Essaie un autre nom ou une autre plateforme.
eafcSearchFailed	Search failed. EA servers may be unreachable.	Recherche échouée. Les serveurs EA sont peut-être inaccessibles.
eafcLoadFailed	Failed to load club data.	Impossible de charger les données du club.
eafcRecent	Recent searches	Recherches récentes
eafcFetching	Fetching club data from EA servers…	Récupération des données club depuis les serveurs EA…
eafcRetry	Retry	Réessayer
eafcDivision	Division {n}	Division {n}
eafcMembers	Members ({count})	Membres ({count})
eafcWinRate	Win rate	Taux de victoire
eafcCareerStats	Career Stats	Stats de carrière
eafcRecentMatches	Recent Matches ({count})	Matchs récents ({count})
eafcGames	Games	Matchs
eafcCs	CS	CS
eafcPrevious	Previous	Précédent
eafcNoDetail	Club found but no detailed data available.	Club trouvé mais aucune donnée détaillée disponible.
eafcResultMeta	ID: {id} · Members: {count}	ID : {id} · Membres : {count}
eafcVs	vs {name}	vs {name}
eafcClubFallback	Club {id}	Club {id}
eafcMom	MoM	HdM
eafcGp	GP	MJ
psTitle	Player Statistics	Statistiques joueurs
psNeedClub	You need to be in a club to view team stats.	Tu dois être dans un club pour voir les stats d'équipe.
psPlayersCount	{name} · {count} players	{name} · {count} joueurs
psAllPlayers	👥 All Players	👥 Tous les joueurs
psTabGoals	⚽ Goals	⚽ Buts
psTabAssists	🎯 Assists	🎯 Passes
psTabRating	⭐ Rating	⭐ Note
psTabTable	📋 Table	📋 Tableau
psGoalsPerPlayer	Goals per Player	Buts par joueur
psAssistsPerPlayer	Assists per Player	Passes par joueur
psAvgMatchRating	Average Match Rating	Note moyenne par match
psAvgRating	Avg Rating	Note moy.
psGoalsAssistsPerMatch	Goals & Assists per Match	Buts & passes par match
psRatingOverTime	Rating Over Time	Note dans le temps
psPerformanceRadar	Performance Radar	Radar de performance
psNoPlayerStats	No match stats recorded for this player yet.	Aucune stat de match pour ce joueur.
psNoStatsYet	No match stats recorded yet. Submit match results with player stats to see charts here.	Aucune stat de match enregistrée. Soumets des résultats avec stats joueur pour voir les graphiques.
psPos	Pos	Pos
psMp	MP	MJ
predTitle	Prediction Leaderboard	Classement des pronostics
predSubtitle	Top score predictors — Compete for points	Meilleurs pronostiqueurs de scores — Gagne des points
predCorrectScore	Correct Score = 10 Points	Score exact = 10 points
predEmpty	No predictions yet. Start predicting match scores!	Aucun pronostic pour le moment. Commence à prédire les scores !
predCount	{count} predictions	{count} pronostics
predTotalPoints	total points	points totaux
predCorrect	{correct}/{total} correct	{correct}/{total} exacts
predAvg	Avg: {avg} pts	Moy. : {avg} pts
teEntrance	Tournament Entrance	Entrée tournoi
teJoining	Joining tournament	Inscription au tournoi
teSigningInFor	Signing in for	Connexion pour
teThisTournament	this tournament	ce tournoi
teAskFreshLink	Ask the tournament organiser for a fresh invite link.	Demande à l'organisateur un nouveau lien d'invitation.
teScopedNote	Your account will be scoped to {name} until the tournament ends. Full access unlocks automatically afterwards.	Ton compte sera limité à {name} jusqu'à la fin du tournoi. L'accès complet se débloque automatiquement ensuite.
teHidePassword	Hide password	Masquer le mot de passe
teShowPassword	Show password	Afficher le mot de passe
teUnableAccount	Unable to load your account.	Impossible de charger ton compte.
teInvalidLink	This tournament entrance link is invalid.	Ce lien d'entrée de tournoi est invalide.
teUnableLoadLink	Unable to load this entrance link.	Impossible de charger ce lien d'entrée.
teReasonNotFound	This tournament entrance link does not exist.	Ce lien d'entrée de tournoi n'existe pas.
teReasonRevoked	This entrance link has been revoked.	Ce lien d'entrée a été révoqué.
teReasonTournamentGone	The tournament linked to this entrance no longer exists.	Le tournoi lié à cette entrée n'existe plus.
teReasonFull	Registration is closed — all spots have been filled.	Inscriptions fermées — toutes les places sont prises.
teTrophyCabinet	Trophy Cabinet	Vitrine des trophées
teLoadingProfile	Loading profile...	Chargement du profil...
teLoadingClub	Loading club...	Chargement du club...
walStcBalance	STC Balance	Solde STC
walStageCoin	Stage Coin	Stage Coin
wal30dIncome	30d Income	Revenus 30j
wal30dSpent	30d Spent	Dépenses 30j
walIncomeSources	Income Sources	Sources de revenus
walFromClubContract	From club contract	Contrat club
walNoClub	No club	Aucun club
walSalaryDueNow	Due now	Dû maintenant
walSalaryDueInDay	In 1 day	Dans 1 jour
walSalaryDueInDays	In {days} days	Dans {days} jours
walInvestmentReturns	Investment Returns	Rendements d'investissement
walPassiveIncomeDesc	Passive income from lifestyle assets	Revenus passifs des actifs lifestyle
walCollect	Collect	Collecter
walTransactionHistory	Transaction History	Historique des transactions
walTotalCount	{count} total	{count} au total
walIncome	Income	Revenus
walExpenses	Expenses	Dépenses
walNoTransactions	No transactions yet	Aucune transaction pour le moment
walHowToEarn	How to earn STC	Comment gagner des STC
walEarnPerContract	Per contract	Par contrat
walEarnSalaryDesc	Collect from your active contract	Collecte depuis ton contrat actif
walEarnWagerWinVal	Wager × 2	Mise × 2
walEarnWagerWinDesc	Win a wagered PvP match	Gagne un match PvP avec mise
walEarnInvestmentIncome	Investment Income	Revenus d'investissement
walEarnPassiveDaily	Passive daily	Passif quotidien
walEarnInvestmentDesc	From lifestyle assets you own	Depuis tes actifs lifestyle
walEarnPrizePool	Prize pool share	Part du prize pool
walEarnCompetitionDesc	Tournament top placements	Top classements en tournoi
walCatWelcomeBonus	Welcome Bonus	Bonus de bienvenue
walCatLifestylePurchase	Lifestyle Purchase	Achat lifestyle
walCatLifestyleRental	Lifestyle Rental	Location lifestyle
walCatInvestmentReturn	Investment Return	Rendement d'investissement
walCatWagerStake	Wager Stake	Mise de pari
walCatWagerWon	Wager Won	Pari gagné
walCatWagerLost	Wager Lost	Pari perdu
walCatWagerRefunded	Wager Refunded	Pari remboursé
walCatCompetitionReward	Competition Reward	Récompense de compétition
walCatAdminCredit	Admin Credit	Crédit admin
walCatAdminDebit	Admin Debit	Débit admin
walCatTransaction	Transaction	Transaction
cfinCatTicketRevenue	Ticket Revenue	Recettes billetterie
cfinCatShirtSales	Shirt Sales	Ventes maillots
cfinCatStadiumUpgrade	Stadium Upgrade	Amélioration stade
cfinCatSalary	Salary	Salaire
cfinCatWagerWin	Wager Win	Gain pari
cfinCatWagerLoss	Wager Loss	Perte pari
cfinCatWagerRefund	Wager Refund	Remboursement pari
cfinCatWagerStake	Wager Stake	Mise pari
cfinCatCompetition	Competition	Compétition
cfinCatTournamentEntry	Tournament Entry	Inscription tournoi
cfinCatTournamentPrize	Tournament Prize	Prix tournoi
cfinCatTournamentRefund	Tournament Refund	Remboursement tournoi
cfinCatAdjustment	Adjustment	Ajustement
cfinCatAdminAdj	Admin Adj.	Ajust. admin
cfinCatTransaction	Transaction	Transaction
cfinFilterTickets	Tickets	Billets
cfinFilterShirts	Shirts	Maillots
cfinFilterStadium	Stadium	Stade
cfinFilterStake	Stake	Mise
cfinFilterRefund	Refund	Remb.
cfinFilterTournament	Tournament	Tournoi
cfinAdjustBudget	Adjust Budget Allocation	Ajuster la répartition du budget
cfinManage	Manage →	Gérer →
cfinBudgetAllocation	Budget Allocation	Répartition du budget
cfinTotalBudgetHint	Total controllable budget: {total}. Moving funds from one budget reduces the other.	Budget total contrôlable : {total}. Déplacer des fonds d'un budget réduit l'autre.
cfinTransferAmount	Transfer: {amount}	Transferts : {amount}
cfinWagesAmount	Wages: {amount}	Salaires : {amount}
cfinSliderMin	0 STC → transfers	0 STC → transferts
cfinSliderMax	wages → {total}	salaires → {total}
cfinWageBelowCommitted	Wage budget can't drop below committed wages ({amount}/wk)	Le budget salarial ne peut pas descendre sous les salaires engagés ({amount}/sem.)
cfinWageUsage	Wage Usage	Utilisation salariale
cfinApplyChanges	Apply Changes	Appliquer
cfinAdjustFailed	Failed to adjust budgets	Échec de l'ajustement des budgets
cfinDeleteConfirm	Delete this transaction? This cannot be undone.	Supprimer cette transaction ? Action irréversible.
cfinActionFailed	Failed	Échec
cfinLoadFailed	Could not load finance data.	Impossible de charger les données financières.
cfinClubBalance	Club Balance	Solde du club
cfinAvailableFunds	Available funds	Fonds disponibles
cfinSquadValue	Squad Value	Valeur de l'effectif
cfinCombinedPlayerValue	Combined player value	Valeur combinée des joueurs
cfinWageBudget	Wage Budget	Budget salarial
cfinWkCommitted	{amount}/wk committed	{amount}/sem. engagés
cfinTransferBudget	Transfer Budget	Budget transferts
cfinSigningFunds	Signing funds	Fonds de signature
cfinWeeklyWageBill	Weekly Wage Bill	Masse salariale hebdo.
cfinWageNearlyExhausted	Wage budget nearly exhausted	Budget salarial presque épuisé
cfinContractLabel	{name} contract	{name} contrat
cfinIncome30d	Income (30d)	Revenus (30 j.)
cfinExpenses30d	Expenses (30d)	Dépenses (30 j.)
cfinNet30d	Net (30d)	Net (30 j.)
cfinTxHistory	Transaction History	Historique des transactions
cfinRefresh	Refresh	Actualiser
cfinNoTx	No transactions found.	Aucune transaction trouvée.
cfinPageOf	Page {page} of {total}	Page {page} sur {total}
coopTabOverview	Overview	Vue d'ensemble
coopTabApplicants	Applicants	Candidats
coopTabStaff	Staff	Staff
coopTabAvailability	Availability	Disponibilités
coopTabLineup	Lineup	Composition
coopTabAudit	Audit	Historique
coopDismiss	Dismiss	Fermer
coopLoadFailed	Could not load club operations.	Impossible de charger les opérations du club.
coopApplicantReviewed	Applicant marked as reviewed.	Candidat marqué comme examiné.
coopApplicantDeclined	Applicant declined.	Candidat refusé.
coopTrialOfferSent	Trial offer sent.	Offre d'essai envoyée.
coopApplicantUpdated	Applicant updated.	Candidat mis à jour.
coopActionFailed	Could not {action}.	Impossible de {action}.
coopStaffAssigned	Staff role assigned.	Rôle staff attribué.
coopStaffAssignFailed	Could not assign staff role.	Impossible d'attribuer le rôle staff.
coopStaffPermissionsUpdated	Staff permissions updated.	Permissions staff mises à jour.
coopStaffPermissionsFailed	Could not update staff permissions.	Impossible de mettre à jour les permissions staff.
coopStaffRemoved	Staff role removed.	Rôle staff retiré.
coopStaffRemoveFailed	Could not remove staff role.	Impossible de retirer le rôle staff.
coopAvailabilitySet	Availability set to {status}.	Disponibilité définie sur {status}.
coopAvailabilityFailed	Could not update availability.	Impossible de mettre à jour la disponibilité.
coopLineupPublished	Lineup published.	Composition publiée.
coopLineupDraftSaved	Lineup draft saved.	Brouillon de composition enregistré.
coopLineupSaveFailed	Could not save lineup.	Impossible d'enregistrer la composition.
coopStatPendingApplicants	Pending applicants	Candidats en attente
coopStatOpenRecruitment	Open recruitment posts	Posts de recrutement ouverts
coopStatUpcomingFixtures	Upcoming fixtures	Matchs à venir
coopStatExpiringContracts	Expiring contracts	Contrats expirants
coopStatPendingContracts	Pending contract offers	Offres de contrat en attente
coopStatStaffRoles	Staff roles	Rôles staff
coopReviewApplicants	Review Applicants	Examiner les candidats
coopEditLineup	Edit Lineup	Modifier la composition
coopManageStaff	Manage Staff	Gérer le staff
coopUnknownPlayer	Unknown player	Joueur inconnu
coopAny	Any	Tout
coopMarkReviewed	Mark Reviewed	Marquer examiné
coopOfferTrial	Offer Trial	Proposer un essai
